







凡人歌,#genre#
01集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/01.mkv
02集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/02.mkv
03集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/03.mkv
04集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/04.mkv
05集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/05.mkv
06集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/06.mkv
07集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/07.mkv
08集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/08.mkv
09集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/09.mkv
10集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/10.mkv
11集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/11.mkv
12集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/12.mkv
13集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/13.mkv
14集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/14.mkv
15集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/15.mkv
16集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/16.mkv
17集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/17.mkv
18集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/18.mkv
19集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/19.mkv
20集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/20.mkv
21集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/21.mkv
22集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/22.mkv
23集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/23.mkv
24集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/24.mkv
25集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/25.mkv
26集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/26.mkv
27集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/27.mkv
28集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/28.mkv
29集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/29.mkv
30集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/30.mkv
31集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/31.mkv
32集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/32.mkv
33集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/33.mkv
34集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/34.mkv
35集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/35.mkv
36集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/36.mkv
37集,http://nf6xk3yn2q2g.hopto.org:29011/fanrenge_1118/37.mkv




4K频道,#genre#
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/sdr4kvideo/playlist.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyang666999/testvideo/hlg4kvideo/playlist.m3u8
其他,#genre#
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
五星体育,https://gdcucc.v1.mk/gdcucc/wxty.m3u8
中国教育电视台-MCP,https://mursor.ottiptv.cc/mcp/cetv1.m3u8
央视,#genre#
 CCTV1综合,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=d0149f8f2ea5093ee1f79f4f577b23fdef70aab6a6f3b15e69ea48614b1ff60eecc3bce9951f20ed9b231c5f09863dfaf895e34188b518a2b4a18ea014d1dfb394c86bcda3c8ca3c1476cf99eb
