央视IPV4,#genre#
重温经典,http://148.135.93.213:81/live.php?id=重温经典
CCTV1,http://148.135.93.213:81/PLTV/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://148.135.93.213:81/PLTV/bestv.php?id=cctv2hd8m/8000000
CCTV3,http://148.135.93.213:81/PLTV/bestv.php?id=cctv38m/8000000
CCTV4,http://148.135.93.213:81/PLTV/bestv.php?id=cctv4hd8m/8000000
CCTV5,http://148.135.93.213:81/PLTV/bestv.php?id=cctv58m/8000000
CCTV5+,http://148.135.93.213:81/PLTV/bestv.php?id=cctv5phd8m/8000000
CCTV6,http://148.135.93.213:81/PLTV/bestv.php?id=cctv6hd8m/8000000
CCTV7,http://148.135.93.213:81/PLTV/bestv.php?id=cctv7hd8m/8000000
CCTV8,http://148.135.93.213:81/PLTV/bestv.php?id=cctv8hd8m/8000000
CCTV9,http://148.135.93.213:81/PLTV/bestv.php?id=cctv9hd8m/8000000
CCTV10,http://148.135.93.213:81/PLTV/bestv.php?id=cctv10hd8m/8000000
CCTV11,http://148.135.93.213:81/PLTV/bestv.php?id=cctv11hd8m/8000000
CCTV12,http://148.135.93.213:81/PLTV/bestv.php?id=cctv12hd8m/8000000
CCTV13,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13
CCTV14,http://148.135.93.213:81/PLTV/bestv.php?id=cctvsehd8m/8000000
CCTV15,http://148.135.93.213:81/PLTV/bestv.php?id=cctv15hd8m/8000000
CCTV16,http://148.135.93.213:81/PLTV/bestv.php?id=cctv16hd8m/8000000
CCTV17,http://148.135.93.213:81/PLTV/bestv.php?id=cctv17hd8m/8000000
CCTV16-4K,http://148.135.93.213:81/PLTV/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,http://148.135.93.213:81/PLTV/bestv.php?id=cctv4k/15000000
CGTN英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
卫视IPV4,#genre#
浙江卫视,http://148.135.93.213:81/PLTV/bestv.php?id=zjwshd8m/8000000
北京卫视,http://148.135.93.213:81/PLTV/bestv.php?id=bjwshd8m/8000000
辽宁卫视,http://148.135.93.213:81/PLTV/bestv.php?id=lnwshd8m/8000000
安徽卫视,http://148.135.93.213:81/PLTV/bestv.php?id=ahwshd8m/8000000
江苏卫视,http://148.135.93.213:81/PLTV/bestv.php?id=jswshd8m/8000000
东方卫视,http://148.135.93.213:81/PLTV/bestv.php?id=dfwshd8m/8000000
东南卫视,http://148.135.93.213:81/PLTV/bestv.php?id=dnwshd8m/8000000
湖南卫视,http://148.135.93.213:81/PLTV/bestv.php?id=hunanwshd8m/8000000
广东卫视,http://148.135.93.213:81/PLTV/bestv.php?id=gdwshd8m/8000000
广西卫视,http://148.135.93.213:81/PLTV/bestv.php?id=gxwshd8m/8000000
深圳卫视,http://148.135.93.213:81/PLTV/bestv.php?id=szwshd8m/8000000
四川卫视,http://148.135.93.213:81/PLTV/bestv.php?id=scwshd/8000000
山东卫视,http://148.135.93.213:81/PLTV/bestv.php?id=sdws8m/8000000
河南卫视,http://148.135.93.213:81/PLTV/bestv.php?id=hnwshd8m/8000000
河北卫视,http://148.135.93.213:81/PLTV/bestv.php?id=hbwshd8m/8000000
江西卫视,http://148.135.93.213:81/PLTV/bestv.php?id=jxws8m/8000000
天津卫视,http://148.135.93.213:81/PLTV/bestv.php?id=tjwshd8m/8000000
重庆卫视,http://148.135.93.213:81/PLTV/bestv.php?id=cqws8m/8000000
黑龙江卫视,http://148.135.93.213:81/PLTV/bestv.php?id=hljwshd8m/8000000
吉林卫视,http://148.135.93.213:81/PLTV/bestv.php?id=jlwshd8m/8000000
海南卫视,http://148.135.93.213:81/PLTV/bestv.php?id=hainanwshd8m/8000000
云南卫视,http://148.135.93.213:81/PLTV/bestv.php?id=ynwshd8m/8000000
贵州卫视,http://148.135.93.213:81/PLTV/bestv.php?id=gzwshd8m/8000000
五星体育,http://148.135.93.213:81/PLTV/bestv.php?id=wxtyhd8m/8000000
凤凰中文,https://yang-1989.eu.org/jd/fhws
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
央视-4K,#genre#
